model,model_config_id,seed,fold,asset,regime_dimension,regime_value,n,mae,rmse,directional_accuracy,actual_positive_direction_balance,sample_size_status,matched_baseline_mae,mae_skill,matched_direction_persistence_da,da_difference
lightgbm,LGBM_01,1729,D1,NVDA,transition,stable,162,0.019090218626177626,0.025866841367787212,0.58024691358024694,0.58024691358024694,reportable,0.019286657968044553,0.010185245271233656,0.5,0.080246913580246937
lightgbm,LGBM_02,1729,D2,AAPL,trend,negative_trend,2,0.0075124036023625001,0.007516789113905931,0.5,0.5,descriptive_low_n,0.009154200806845,0.17934904849966316,0.5,0
lightgbm,LGBM_02,1729,D2,AAPL,trend,positive_trend,250,0.012246342333264859,0.015937809717635365,0.52800000000000002,0.53200000000000003,reportable,0.012192059770411365,-0.0044522881183071128,0.5,0.028000000000000025
lightgbm,LGBM_02,1729,D2,AAPL,volatility,high_volatility,144,0.012638407424019404,0.01638876516357993,0.4861111111111111,0.5,reportable,0.012401370995443715,-0.019113727721134621,0.45833333333333331,0.02777777777777779
lightgbm,LGBM_02,1729,D2,AAPL,volatility,low_volatility,108,0.011635923346871717,0.015196020156829226,0.58333333333333337,0.57407407407407407,reportable,0.011856721489561449,0.018622191883660322,0.55555555555555558,0.02777777777777779
lightgbm,LGBM_02,1729,D2,AAPL,transition,transition,52,0.013208104218981291,0.016796847069283506,0.51923076923076927,0.51923076923076927,reportable,0.013516336228123826,0.022804405272279893,0.46153846153846156,0.057692307692307709
lightgbm,LGBM_02,1729,D2,AAPL,transition,stable,200,0.011948944855669563,0.015643765079045267,0.53000000000000003,0.53500000000000003,reportable,0.011817369301770464,-0.011134081582724775,0.51000000000000001,0.020000000000000018
lightgbm,LGBM_02,1729,D2,MSFT,trend,negative_trend,2,0.013927463115701158,0.014109154386211416,0.5,1,descriptive_low_n,0.015701864376864352,0.11300576916061356,0,0.5
lightgbm,LGBM_02,1729,D2,MSFT,trend,positive_trend,250,0.010168654621806569,0.013204576563494512,0.50800000000000001,0.52400000000000002,reportable,0.010087321850274984,-0.0080628706745753398,0.5,0.0080000000000000071
lightgbm,LGBM_02,1729,D2,MSFT,volatility,high_volatility,144,0.010650702241858575,0.013701472741270869,0.51388888888888884,0.54166666666666663,reportable,0.010699905945041591,0.0045985173548014346,0.47222222222222221,0.04166666666666663
